question,story_id,comment_id
why do ai-made projects feel hard to talk about,48886741,48889965
what makes ai coding demos boring to discuss,48886741,48889965
how can someone share an ai-built app in a way people can actually discuss it,48886741,48889965
what tools can i use so an ai coder can check its own edits for lint errors,48819876,48835240
is there a way to hover over a ui element and copy its source info without hunting through files,48819876,48835240
how can i make my coding agent handle line mismatches and read past sessions better,48819876,48835240
should i choose cambridge or amazon for my career,48896372,48896511
is a cambridge degree better than working at amazon,48896372,48896511
does amazon look impressive compared to going to cambridge,48896372,48896511
why does ai writing sound so fake and easy to spot,48886741,48889269
does making ai text sound more human show you actually put in effort,48886741,48889269
can site moderators stop ai writing from getting more obvious over time,48886741,48889269
why do people think ai skeptics are making a good point when they just say trust me bro,48886741,48887405
how do i respond when someone uses really fancy wording to say something obvious about ai,48886741,48887405
what does it mean when someone says theyve given up arguing about ai because people like reading the dramatic stuff,48886741,48887405
why do local llms forget the reasoning from earlier turns,48542100,48547922
what is preserved thinking in qwen and when would i turn it on,48542100,48547922
why do some ai models need to redo tool calls after a follow up prompt,48542100,48547922
how can i use ai coding tools without getting too dependent on them,48641160,48641783
is it better to write code myself instead of using ai all the time,48641160,48641783
how do i keep ai assistant costs low for coding projects,48641160,48641783
how can i run ai workloads on either a vm or local container and scale more workers when needed,48771515,48781709
how do i set spending limits for ai tasks by dollars tokens or time at different levels,48771515,48781709
how can i estimate llm api cost before a run and approve it manually,48771515,48781709
can i build useful apps with ai if i dont know the language theyre written in,48449187,48458942
has anyone made working projects in lua or python without really knowing those languages,48449187,48458942
what are some examples of people using ai to create tools in a language they dont program in,48449187,48458942
why would apple release vision pro at such a high price if it wont sell many,48465702,48468421
was vision pro meant to be a test for how people and devs use it,48465702,48468421
what cheaper versions of vision pro might apple make later,48465702,48468421
what app lets me use local llms with pdfs and office files like cursor,48542100,48552812
how can i connect ollama or lm studio to a desktop app for document work,48542100,48552812
is there a tool for knowledge work that uses offline ai models and needs a good pc,48542100,48552812
why do some job training sites feel shady to people looking for work,48506850,48507188
is it wrong to sell career help to people who are worried about losing their jobs,48506850,48507188
why do people call some ai career tools scams for unemployed people,48506850,48507188
how long do ai hype cycles usually last compared with crypto,48834961,48835575
why do new tech trends seem to come faster and faster now,48834961,48835575
is ai just the next overhyped thing after crypto,48834961,48835575
is ai the same thing as neural networks,48420827,48421571
why do people say ai is older than machine learning,48420827,48421571
did early ai researchers dislike neural nets,48420827,48421571
has ai helped people catch up on overdue work and start bigger projects at your company,48567958,48575934
do people actually lose jobs to ai or is it more like having an assistant for routine tasks,48567958,48575934
what are the real effects of ai at work if a team only uses it a little,48567958,48575934
how do you use ai to write small api scripts without doing the whole thing at once,48542100,48546262
should i break ai coding tasks into one function at a time for better results,48542100,48546262
has anyone had success using a local model just for implementing predesigned functions,48542100,48546262
can ai coding tools really finish a formatter without a lot of babysitting,48406174,48425719
how did someone use claude code to help build a postgres language server formatter,48406174,48425719
what kind of coding task is good to run overnight with an ai agent and then clean up later,48406174,48425719
how do llms keep reasoning instead of switching to the final answer too soon,48434240,48501524
can decoding settings make a model think longer before answering,48434240,48501524
what is the channel token trick for forcing an ai to keep reasoning,48434240,48501524
how do i turn happy customers into more sales,48918150,48920094
does affiliate marketing actually help grow a product business,48918150,48920094
what are some concrete examples of word of mouth marketing working,48918150,48920094
does using claude actually make you more productive or just feel faster,48542100,48558506
can ai coding assistants help you work on multiple projects at once,48542100,48558506
is the extra mess from ai generated code worth the speed gains,48542100,48558506
why is chip design so hard and expensive to do by hand,48668199,48747254
will software eventually get too complex for humans to understand,48668199,48747254
is ai software development following something like moore's law,48668199,48747254
can i use a local llm instead of github copilot on a 12gb gpu,48542100,48551246
what model and setup works for agentic coding on a low vram pc,48542100,48551246
what coding tool lets you build custom workflows and still run fast on small hardware,48542100,48551246
how is ai actually useful for software development beyond demos and toy projects,48449187,48462040
why do people say ai helps with custom tools for specific internal problems,48449187,48462040
do ai coding tools still need deterministic standard tools to be really valuable,48449187,48462040
can ai help turn a proof of concept into a working exploit for the default settings,48406174,48418364
why would a vuln proof of concept fail until certain security settings are changed,48406174,48418364
how do teams decide to responsibly report a crash bug they found with ai help,48406174,48418364
how can i let non harmful bots access my site but block bad traffic,49054859,49056136
what setup can help stop abusive requests without blocking all crawlers,49054859,49056136
how do you protect a website from bot traffic using rate limits and bans,49054859,49056136
are local llms anywhere near opus or gpt 5.5,48542100,48545296
is there any open source model i can run on my pc that competes with top paid models,48542100,48545296
if i dont want to pay for codex what are my options for better ai coding models,48542100,48545296
are ai coding tools actually useful or just fancy autocomplete,48406174,48419396
why do people say ai agents aren't trustworthy for work tasks,48406174,48419396
what do you think about companies building data centers by suing local towns,48406174,48419396
what safeguards can you use when shipping ai generated code,48571124,48580135
how do teams reduce risk when using llms to write code,48571124,48580135
what kind of controls help if an ai makes changes in a codebase,48571124,48580135
why are software engineers often in favor of immigration,49021689,49023827
do tech workers think immigrants are good for the economy and jobs,49021689,49023827
why would a programmer support more h1b workers even if it could affect salaries,49021689,49023827
is ai really going to make some people unable to write,48886741,48903927
what is the point of the term writes and write-nots,48886741,48903927
why do some people think ai will change writing skills when kids already struggle to write,48886741,48903927
what mac apps can i use instead of homebrew and the default apple stuff,48643848,48645694
best mac apps for video download editing playback and encoding,48643848,48645694
how do i reduce apple background network calls on my mac and what apps should i use,48643848,48645694
why are some companies okay using copied code in ai projects without crediting the original source,48406174,48426127
what made you distrust ai proposals from managers so much,48406174,48426127
have developers started behaving more unprofessionally because of ai,48406174,48426127
how can i help improve ai-generated code quality in an open source project,48886741,48893409
what are practical ways to review or verify ai-written code,48886741,48893409
should i judge an argument by its logic instead of guessing whether the writer understands the topic,48886741,48893409
can ai help with fixing bugs from logs,48857085,48860073
how useful is ai for writing new code in an existing codebase,48857085,48860073
what is it like using ai as a coding assistant for bug fixes and code changes,48857085,48860073
what kinds of companies are still using really old software or systems and need help modernizing,48697527,48697850
where can i find jobs at small businesses that are behind on tech and still using outdated tools,48697527,48697850
are there businesses that would be impressed by pretty old software skills instead of latest tech,48697527,48697850
how can i use an llm to review a code change from different angles,48771515,48780665
how do i make ai help me find security and design issues in my code before i ship it,48771515,48780665
what's a good way to use chatgpt to write code iteratively without making a huge pr,48771515,48780665
will clients start expecting faster feature delivery if i've already shipped some things quickly with ai tools,48406174,48419259
why does ai coding feel easy for some tasks but not others yet,48406174,48419259
will developer work go back to normal after the current ai boost in productivity,48406174,48419259
how can i get ai to write code with explanations too,48771515,48782072
is there a way to make an ai keep the design notes with the code it writes,48771515,48782072
how do i set up a project so ai uses a literate style when generating code,48771515,48782072
what are the downsides of working from home for software engineers?,48573153,48588052
why do remote workers need friends or hobbies outside of work?,48573153,48588052
does working from home make it easier to get out of shape or feel lonely?,48573153,48588052
why do 1 on 1 meetings matter more when a company gets bigger,48475871,48480580
why is it easy for founders to keep track of everyone in a tiny startup but not in a larger one,48475871,48480580
how does team size affect communication and relationships in a startup,48475871,48480580
how do teams keep ai-generated code consistent with their coding standards,48668199,48705465
will code reviews get lighter as ai coding tools get better,48668199,48705465
what happens to developer jobs if ai can write code that matches the team style,48668199,48705465
is ai writing actually common on hn or just a few examples,48886741,48887722
do people on hn really overreact to ai text because they think it means low effort,48886741,48887722
are humans actually good at spotting ai writing or do they mostly guess wrong,48886741,48887722
when is it ok to use ai for coding,48542100,48549899
should i trust ai to make design choices in code,48542100,48549899
is it safer to use ai for throwaway code than long term code,48542100,48549899
can a laptop run ai models that are as good as claude opus,48542100,48545890
is qwen 3.6 35b-a3b as good as claude 4 opus,48542100,48545890
are local llms now close to the cloud models people used for coding,48542100,48545890
how would an ai agent work if it ran in the background and only asked me for input when needed,48771515,48772025
is chat ui just a temporary way to use ai agents,48771515,48772025
why would running an agent more often reduce how much human help it needs,48771515,48772025
is private uncensored money transfer a bad idea,48420827,48441090
should we support tools that only help break the law,48420827,48441090
why is encrypted communication ok but anonymous money transfer not ok,48420827,48441090
can a website be liable for user posts,48707536,48707963
what is a platform's responsibility when users upload illegal content,48707536,48707963
do sites have to remove illegal user content after being told about it,48707536,48707963
how do i build better relationships with remote employees without being awkward,48475871,48487776
should managers chat casually with remote team members or keep it all work,48475871,48487776
how do you manage a team where some people want small talk and others just want to get to the point,48475871,48487776
